Players,Team,Type,Base,Sold,Team_Name,season,pom_s1count,pom_s3count,name,nmatches_1s,total_runs_1s,ballsFaced_1s,total_fours_1s,total_sixes_1s,mediansr_1s,nmatches_3s,total_runs_3s,ballsFaced_3s,total_fours_3s,total_sixes_3s,run_rate_3s
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2013,0,0,NT Tilak Varma,0,0,0,0,0,0.0,0,0,0,0,0,
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2014,0,0,NT Tilak Varma,0,0,0,0,0,0.0,0,0,0,0,0,
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2015,0,0,NT Tilak Varma,0,0,0,0,0,0.0,0,0,0,0,0,
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2016,0,0,NT Tilak Varma,0,0,0,0,0,0.0,0,0,0,0,0,
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2017,0,0,NT Tilak Varma,0,0,0,0,0,0.0,0,0,0,0,0,
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2018,0,0,NT Tilak Varma,0,0,0,0,0,0.0,0,0,0,0,0,
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2019,0,0,NT Tilak Varma,0,0,0,0,0,0.0,0,0,0,0,0,
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2020,0,0,NT Tilak Varma,0,0,0,0,0,0.0,0,0,0,0,0,
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2021,0,0,NT Tilak Varma,0,0,0,0,0,0.0,0,0,0,0,0,
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2022,0,0,NT Tilak Varma,14,397,303,29,16,121.76,14,397,303,29,16,7.861386138613861
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2023,0,0,NT Tilak Varma,11,343,209,26,23,138.09,25,740,512,55,39,8.671875
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2024,0,0,NT Tilak Varma,12,384,261,30,18,138.005,37,1124,773,85,57,8.72445019404916
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2008,0,0,H Klaasen,0,0,0,0,0,0.0,0,0,0,0,0,
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2009,0,0,H Klaasen,0,0,0,0,0,0.0,0,0,0,0,0,
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2010,0,0,H Klaasen,0,0,0,0,0,0.0,0,0,0,0,0,
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2011,0,0,H Klaasen,0,0,0,0,0,0.0,0,0,0,0,0,
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2012,0,0,H Klaasen,0,0,0,0,0,0.0,0,0,0,0,0,
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2013,0,0,H Klaasen,0,0,0,0,0,0.0,0,0,0,0,0,
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2014,0,0,H Klaasen,0,0,0,0,0,0.0,0,0,0,0,0,
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2015,0,0,H Klaasen,0,0,0,0,0,0.0,0,0,0,0,0,
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2016,0,0,H Klaasen,0,0,0,0,0,0.0,0,0,0,0,0,
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2017,0,0,H Klaasen,0,0,0,0,0,0.0,0,0,0,0,0,
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2018,0,0,H Klaasen,4,57,47,5,1,100.0,4,57,47,5,1,7.276595744680851
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2019,0,0,H Klaasen,2,9,10,0,0,92.855,6,66,57,5,1,6.947368421052632
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2020,0,0,H Klaasen,0,0,0,0,0,0.0,6,66,57,5,1,6.947368421052632
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2021,0,0,H Klaasen,0,0,0,0,0,0.0,2,9,10,0,0,5.4
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2022,0,0,H Klaasen,0,0,0,0,0,0.0,0,0,0,0,0,
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2023,0,0,H Klaasen,11,448,253,32,25,180.0,11,448,253,32,25,10.624505928853756
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad,2024,0,0,H Klaasen,11,339,182,12,31,187.5,22,787,435,44,56,10.855172413793104
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2008,0,0,PJ Cummins,0,0,0,0,0,0.0,0,0,0,0,0,
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2009,0,0,PJ Cummins,0,0,0,0,0,0.0,0,0,0,0,0,
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2010,0,0,PJ Cummins,0,0,0,0,0,0.0,0,0,0,0,0,
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2011,0,0,PJ Cummins,0,0,0,0,0,0.0,0,0,0,0,0,
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2012,0,0,PJ Cummins,0,0,0,0,0,0.0,0,0,0,0,0,
