name,fullName,season,nmatchesbowl_1s,ballsdelivr_1s,total_maidens_1s,total_runscon_1s,total_wickets_1s,total_dots_1s,total_4sconc_1s,total_6sconc_1s,total_wides_1s,total_noballs_1s,median_econ_1s,nmatchesbowl_3s,ballsdelivr_3s,total_maidens_3s,total_runscon_3s,total_wickets_3s,total_dots_3s,total_4sconc_3s,total_6sconc_3s,total_wides_3s,total_noballs_3s,economyRate_1s,economyRate_3s
A Kamboj,Anshul Kamboj,2019,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kamboj,Anshul Kamboj,2020,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kamboj,Anshul Kamboj,2021,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kamboj,Anshul Kamboj,2022,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kamboj,Anshul Kamboj,2023,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kamboj,Anshul Kamboj,2024,1,24,0,42,1,9,3,2,1,2,10.5,1,24,0,42,1,9,3,2,1,2,10.5,10.5
A Kumble,Anil Kumble,2008,10,230,0,304,7,91,27,14,6,0,8.125,10,230,0,304,7,91,27,14,6,0,7.930434782608696,7.930434782608696
A Kumble,Anil Kumble,2009,16,355,1,347,21,144,18,8,3,0,6.0,26,585,1,651,28,235,45,22,9,0,5.864788732394366,6.676923076923077
A Kumble,Anil Kumble,2010,16,380,0,407,17,162,27,13,4,5,6.875,42,965,1,1058,45,397,72,35,13,5,6.426315789473684,6.578238341968912
A Kumble,Anil Kumble,2011,0,0,0,0,0,0,0,0,0,0,0.0,32,735,1,754,38,306,45,21,7,5,,6.155102040816327
A Kumble,Anil Kumble,2012,0,0,0,0,0,0,0,0,0,0,0.0,16,380,0,407,17,162,27,13,4,5,,6.426315789473684
A Kumble,Anil Kumble,2013,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kumble,Anil Kumble,2014,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kumble,Anil Kumble,2015,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kumble,Anil Kumble,2016,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kumble,Anil Kumble,2017,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kumble,Anil Kumble,2018,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kumble,Anil Kumble,2019,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kumble,Anil Kumble,2020,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kumble,Anil Kumble,2021,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kumble,Anil Kumble,2022,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kumble,Anil Kumble,2023,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kumble,Anil Kumble,2024,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Madhwal,Akash Madhwal,2008,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Madhwal,Akash Madhwal,2009,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Madhwal,Akash Madhwal,2010,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Madhwal,Akash Madhwal,2011,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Madhwal,Akash Madhwal,2012,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Madhwal,Akash Madhwal,2013,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Madhwal,Akash Madhwal,2014,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Madhwal,Akash Madhwal,2015,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Madhwal,Akash Madhwal,2016,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Madhwal,Akash Madhwal,2017,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Madhwal,Akash Madhwal,2018,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Madhwal,Akash Madhwal,2019,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Madhwal,Akash Madhwal,2020,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
