Players,Team,Type,Base,Sold,Team_Name,season,pom_s1count,pom_s3count
Ravindra Jadeja,CSK,AR,-,18.0,Chennai Super Kings,2009,0,0
Ravindra Jadeja,CSK,AR,-,18.0,Chennai Super Kings,2010,0,0
Ravindra Jadeja,CSK,AR,-,18.0,Chennai Super Kings,2011,0,0
Ravindra Jadeja,CSK,AR,-,18.0,Chennai Super Kings,2012,1,1
Ravindra Jadeja,CSK,AR,-,18.0,Chennai Super Kings,2013,2,3
Ravindra Jadeja,CSK,AR,-,18.0,Chennai Super Kings,2014,3,6
Ravindra Jadeja,CSK,AR,-,18.0,Chennai Super Kings,2015,1,6
Ravindra Jadeja,CSK,AR,-,18.0,Chennai Super Kings,2016,0,4
Ravindra Jadeja,CSK,AR,-,18.0,Chennai Super Kings,2017,0,1
Ravindra Jadeja,CSK,AR,-,18.0,Chennai Super Kings,2018,1,1
Ravindra Jadeja,CSK,AR,-,18.0,Chennai Super Kings,2019,0,1
Ravindra Jadeja,CSK,AR,-,18.0,Chennai Super Kings,2020,1,2
Ravindra Jadeja,CSK,AR,-,18.0,Chennai Super Kings,2021,2,3
Ravindra Jadeja,CSK,AR,-,18.0,Chennai Super Kings,2022,0,3
Ravindra Jadeja,CSK,AR,-,18.0,Chennai Super Kings,2023,3,5
Ravindra Jadeja,CSK,AR,-,18.0,Chennai Super Kings,2024,2,5
Matheesha Pathirana,CSK,BOWL,-,13.0,Chennai Super Kings,2008,0,0
Matheesha Pathirana,CSK,BOWL,-,13.0,Chennai Super Kings,2009,0,0
Matheesha Pathirana,CSK,BOWL,-,13.0,Chennai Super Kings,2010,0,0
Matheesha Pathirana,CSK,BOWL,-,13.0,Chennai Super Kings,2011,0,0
Matheesha Pathirana,CSK,BOWL,-,13.0,Chennai Super Kings,2012,0,0
Matheesha Pathirana,CSK,BOWL,-,13.0,Chennai Super Kings,2013,0,0
Matheesha Pathirana,CSK,BOWL,-,13.0,Chennai Super Kings,2014,0,0
Matheesha Pathirana,CSK,BOWL,-,13.0,Chennai Super Kings,2015,0,0
Matheesha Pathirana,CSK,BOWL,-,13.0,Chennai Super Kings,2016,0,0
Matheesha Pathirana,CSK,BOWL,-,13.0,Chennai Super Kings,2017,0,0
Matheesha Pathirana,CSK,BOWL,-,13.0,Chennai Super Kings,2018,0,0
Matheesha Pathirana,CSK,BOWL,-,13.0,Chennai Super Kings,2019,0,0
Matheesha Pathirana,CSK,BOWL,-,13.0,Chennai Super Kings,2020,0,0
Matheesha Pathirana,CSK,BOWL,-,13.0,Chennai Super Kings,2021,0,0
Matheesha Pathirana,CSK,BOWL,-,13.0,Chennai Super Kings,2022,0,0
Matheesha Pathirana,CSK,BOWL,-,13.0,Chennai Super Kings,2023,1,1
Matheesha Pathirana,CSK,BOWL,-,13.0,Chennai Super Kings,2024,1,2
Shivam Dube,CSK,AR,-,12.0,Chennai Super Kings,2008,0,0
Shivam Dube,CSK,AR,-,12.0,Chennai Super Kings,2009,0,0
Shivam Dube,CSK,AR,-,12.0,Chennai Super Kings,2010,0,0
Shivam Dube,CSK,AR,-,12.0,Chennai Super Kings,2011,0,0
Shivam Dube,CSK,AR,-,12.0,Chennai Super Kings,2012,0,0
Shivam Dube,CSK,AR,-,12.0,Chennai Super Kings,2013,0,0
Shivam Dube,CSK,AR,-,12.0,Chennai Super Kings,2014,0,0
Shivam Dube,CSK,AR,-,12.0,Chennai Super Kings,2015,0,0
Shivam Dube,CSK,AR,-,12.0,Chennai Super Kings,2016,0,0
Shivam Dube,CSK,AR,-,12.0,Chennai Super Kings,2017,0,0
Shivam Dube,CSK,AR,-,12.0,Chennai Super Kings,2018,0,0
Shivam Dube,CSK,AR,-,12.0,Chennai Super Kings,2019,0,0
Shivam Dube,CSK,AR,-,12.0,Chennai Super Kings,2020,0,0
Shivam Dube,CSK,AR,-,12.0,Chennai Super Kings,2021,0,0
Shivam Dube,CSK,AR,-,12.0,Chennai Super Kings,2022,1,1
Shivam Dube,CSK,AR,-,12.0,Chennai Super Kings,2023,0,1
Shivam Dube,CSK,AR,-,12.0,Chennai Super Kings,2024,1,2
MS Dhoni,CSK,BAT,-,4.0,Chennai Super Kings,2008,2,2
MS Dhoni,CSK,BAT,-,4.0,Chennai Super Kings,2009,1,3
MS Dhoni,CSK,BAT,-,4.0,Chennai Super Kings,2010,2,5
MS Dhoni,CSK,BAT,-,4.0,Chennai Super Kings,2011,1,4
MS Dhoni,CSK,BAT,-,4.0,Chennai Super Kings,2012,1,4
MS Dhoni,CSK,BAT,-,4.0,Chennai Super Kings,2013,3,5
MS Dhoni,CSK,BAT,-,4.0,Chennai Super Kings,2014,1,5
MS Dhoni,CSK,BAT,-,4.0,Chennai Super Kings,2015,0,4
MS Dhoni,CSK,BAT,-,4.0,Chennai Super Kings,2016,1,2
MS Dhoni,CSK,BAT,-,4.0,Chennai Super Kings,2017,1,2
MS Dhoni,CSK,BAT,-,4.0,Chennai Super Kings,2018,1,3
MS Dhoni,CSK,BAT,-,4.0,Chennai Super Kings,2019,3,5
MS Dhoni,CSK,BAT,-,4.0,Chennai Super Kings,2020,0,4
MS Dhoni,CSK,BAT,-,4.0,Chennai Super Kings,2021,0,3
MS Dhoni,CSK,BAT,-,4.0,Chennai Super Kings,2022,0,0
MS Dhoni,CSK,BAT,-,4.0,Chennai Super Kings,2023,0,0
MS Dhoni,CSK,BAT,-,4.0,Chennai Super Kings,2024,0,0
Axar Patel,DC,AR,-,16.5,Delhi Capitals,2008,0,0
Axar Patel,DC,AR,-,16.5,Delhi Capitals,2009,0,0
Axar Patel,DC,AR,-,16.5,Delhi Capitals,2010,0,0
Axar Patel,DC,AR,-,16.5,Delhi Capitals,2011,0,0
Axar Patel,DC,AR,-,16.5,Delhi Capitals,2012,0,0
Axar Patel,DC,AR,-,16.5,Delhi Capitals,2013,0,0
Axar Patel,DC,AR,-,16.5,Delhi Capitals,2014,1,1
Axar Patel,DC,AR,-,16.5,Delhi Capitals,2015,1,2
Axar Patel,DC,AR,-,16.5,Delhi Capitals,2016,1,3
Axar Patel,DC,AR,-,16.5,Delhi Capitals,2017,1,3
Axar Patel,DC,AR,-,16.5,Delhi Capitals,2018,0,2
Axar Patel,DC,AR,-,16.5,Delhi Capitals,2019,0,1
Axar Patel,DC,AR,-,16.5,Delhi Capitals,2020,1,1
Axar Patel,DC,AR,-,16.5,Delhi Capitals,2021,2,3
Axar Patel,DC,AR,-,16.5,Delhi Capitals,2022,0,3
Axar Patel,DC,AR,-,16.5,Delhi Capitals,2023,1,3
Axar Patel,DC,AR,-,16.5,Delhi Capitals,2024,0,1
Kuldeep Yadav,DC,BOWL,-,13.25,Delhi Capitals,2008,0,0
Kuldeep Yadav,DC,BOWL,-,13.25,Delhi Capitals,2009,0,0
Kuldeep Yadav,DC,BOWL,-,13.25,Delhi Capitals,2010,0,0
Kuldeep Yadav,DC,BOWL,-,13.25,Delhi Capitals,2011,0,0
Kuldeep Yadav,DC,BOWL,-,13.25,Delhi Capitals,2012,0,0
Kuldeep Yadav,DC,BOWL,-,13.25,Delhi Capitals,2013,0,0
Kuldeep Yadav,DC,BOWL,-,13.25,Delhi Capitals,2014,0,0
Kuldeep Yadav,DC,BOWL,-,13.25,Delhi Capitals,2015,0,0
Kuldeep Yadav,DC,BOWL,-,13.25,Delhi Capitals,2016,0,0
