Players,Team,Type,Base,Sold,Team_Name,season,pom_s1count,pom_s3count,name,nmatches_1s,total_runs_1s,ballsFaced_1s,total_fours_1s,total_sixes_1s,mediansr_1s,nmatches_3s,total_runs_3s,ballsFaced_3s,total_fours_3s,total_sixes_3s,run_rate_3s,nmatchesbowl_1s,ballsdelivr_1s,total_maidens_1s,total_runscon_1s,total_wickets_1s,total_dots_1s,total_4sconc_1s,total_6sconc_1s,total_wides_1s,total_noballs_1s,median_econ_1s,nmatchesbowl_3s,ballsdelivr_3s,total_maidens_3s,total_runscon_3s,total_wickets_3s,total_dots_3s,total_4sconc_3s,total_6sconc_3s,total_wides_3s,total_noballs_3s,economyRate_1s,economyRate_3s
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2023,2,3,SA Yadav,16,605,334,65,28,168.5,38,1225,763,128,54,9.63302752293578,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2024,1,4,SA Yadav,9,334,189,35,18,160.0,33,1242,731,123,62,10.194254445964432,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2008,0,0,HH Pandya,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2009,0,0,HH Pandya,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2010,0,0,HH Pandya,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2011,0,0,HH Pandya,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2012,0,0,HH Pandya,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2013,0,0,HH Pandya,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2014,0,0,HH Pandya,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2015,2,2,HH Pandya,8,112,62,9,8,129.635,8,112,62,9,8,10.838709677419354,8,102,0,176,1,31,22,5,4,1,9.5,8,102,0,176,1,31,22,5,4,1,10.352941176470589,10.352941176470589
