pom,season,pom_s1count,pom_s3count
Anil Kumble,2017,0,0
Anil Kumble,2018,0,0
Anil Kumble,2019,0,0
Anil Kumble,2020,0,0
Anil Kumble,2021,0,0
Anil Kumble,2022,0,0
Anil Kumble,2023,0,0
Anil Kumble,2024,0,0
Ankit Rajpoot,2008,0,0
Ankit Rajpoot,2009,0,0
Ankit Rajpoot,2010,0,0
Ankit Rajpoot,2011,0,0
Ankit Rajpoot,2012,0,0
Ankit Rajpoot,2013,0,0
Ankit Rajpoot,2014,0,0
Ankit Rajpoot,2015,0,0
Ankit Rajpoot,2016,0,0
Ankit Rajpoot,2017,0,0
Ankit Rajpoot,2018,2,2
Ankit Rajpoot,2019,0,2
Ankit Rajpoot,2020,0,2
Ankit Rajpoot,2021,0,0
Ankit Rajpoot,2022,0,0
Ankit Rajpoot,2023,0,0
Ankit Rajpoot,2024,0,0
Anrich Nortje,2008,0,0
Anrich Nortje,2009,0,0
Anrich Nortje,2010,0,0
Anrich Nortje,2011,0,0
Anrich Nortje,2012,0,0
Anrich Nortje,2013,0,0
Anrich Nortje,2014,0,0
Anrich Nortje,2015,0,0
Anrich Nortje,2016,0,0
Anrich Nortje,2017,0,0
Anrich Nortje,2018,0,0
Anrich Nortje,2019,0,0
Anrich Nortje,2020,2,2
Anrich Nortje,2021,1,3
Anrich Nortje,2022,0,3
Anrich Nortje,2023,0,1
Anrich Nortje,2024,0,0
Anuj Rawat,2008,0,0
Anuj Rawat,2009,0,0
Anuj Rawat,2010,0,0
Anuj Rawat,2011,0,0
Anuj Rawat,2012,0,0
Anuj Rawat,2013,0,0
Anuj Rawat,2014,0,0
Anuj Rawat,2015,0,0
Anuj Rawat,2016,0,0
Anuj Rawat,2017,0,0
Anuj Rawat,2018,0,0
Anuj Rawat,2019,0,0
Anuj Rawat,2020,0,0
Anuj Rawat,2021,0,0
Anuj Rawat,2022,1,1
Anuj Rawat,2023,0,1
Anuj Rawat,2024,0,1
Arshdeep Singh,2008,0,0
Arshdeep Singh,2009,0,0
Arshdeep Singh,2010,0,0
Arshdeep Singh,2011,0,0
Arshdeep Singh,2012,0,0
Arshdeep Singh,2013,0,0
Arshdeep Singh,2014,0,0
Arshdeep Singh,2015,0,0
Arshdeep Singh,2016,0,0
Arshdeep Singh,2017,0,0
Arshdeep Singh,2018,0,0
Arshdeep Singh,2019,0,0
Arshdeep Singh,2020,0,0
Arshdeep Singh,2021,0,0
Arshdeep Singh,2022,0,0
Arshdeep Singh,2023,1,1
Arshdeep Singh,2024,0,1
Ashish Nehra,2008,1,1
Ashish Nehra,2009,1,2
Ashish Nehra,2010,0,2
Ashish Nehra,2011,0,1
Ashish Nehra,2012,0,0
Ashish Nehra,2013,0,0
Ashish Nehra,2014,0,0
Ashish Nehra,2015,3,3
Ashish Nehra,2016,1,4
Ashish Nehra,2017,0,4
Ashish Nehra,2018,0,1
Ashish Nehra,2019,0,0
Ashish Nehra,2020,0,0
Ashish Nehra,2021,0,0
Ashish Nehra,2022,0,0
Ashish Nehra,2023,0,0
Ashish Nehra,2024,0,0
Ashok Dinda,2008,0,0
Ashok Dinda,2009,0,0
Ashok Dinda,2010,0,0
Ashok Dinda,2011,0,0
Ashok Dinda,2012,0,0
Ashok Dinda,2013,0,0
Ashok Dinda,2014,0,0
Ashok Dinda,2015,0,0
Ashok Dinda,2016,2,2
Ashok Dinda,2017,0,2
Ashok Dinda,2018,0,2
Ashok Dinda,2019,0,0
Ashok Dinda,2020,0,0
Ashok Dinda,2021,0,0
Ashok Dinda,2022,0,0
Ashok Dinda,2023,0,0
Ashok Dinda,2024,0,0
Avesh Khan,2008,0,0
Avesh Khan,2009,0,0
Avesh Khan,2010,0,0
Avesh Khan,2011,0,0
Avesh Khan,2012,0,0
Avesh Khan,2013,0,0
Avesh Khan,2014,0,0
Avesh Khan,2015,0,0
Avesh Khan,2016,0,0
Avesh Khan,2017,0,0
Avesh Khan,2018,0,0
Avesh Khan,2019,0,0
Avesh Khan,2020,0,0
Avesh Khan,2021,0,0
Avesh Khan,2022,2,2
Avesh Khan,2023,0,2
Avesh Khan,2024,0,2
Axar Patel,2008,0,0
Axar Patel,2009,0,0
Axar Patel,2010,0,0
Axar Patel,2011,0,0
Axar Patel,2012,0,0
Axar Patel,2013,0,0
Axar Patel,2014,1,1
Axar Patel,2015,1,2
Axar Patel,2016,1,3
Axar Patel,2017,1,3
Axar Patel,2018,0,2
Axar Patel,2019,0,1
Axar Patel,2020,1,1
Axar Patel,2021,2,3
Axar Patel,2022,0,3
Axar Patel,2023,1,3
Axar Patel,2024,0,1
Azhar Mahmood,2008,0,0
Azhar Mahmood,2009,0,0
Azhar Mahmood,2010,0,0
Azhar Mahmood,2011,0,0
Azhar Mahmood,2012,1,1
Azhar Mahmood,2013,1,2
Azhar Mahmood,2014,0,2
Azhar Mahmood,2015,0,1
Azhar Mahmood,2016,0,0
Azhar Mahmood,2017,0,0
Azhar Mahmood,2018,0,0
Azhar Mahmood,2019,0,0
Azhar Mahmood,2020,0,0
Azhar Mahmood,2021,0,0
Azhar Mahmood,2022,0,0
Azhar Mahmood,2023,0,0
Azhar Mahmood,2024,0,0
Ben Cutting,2008,0,0
Ben Cutting,2009,0,0
Ben Cutting,2010,0,0
Ben Cutting,2011,0,0
Ben Cutting,2012,0,0
Ben Cutting,2013,0,0
Ben Cutting,2014,0,0
Ben Cutting,2015,0,0
Ben Cutting,2016,1,1
Ben Cutting,2017,0,1
Ben Cutting,2018,0,1
Ben Cutting,2019,0,0
Ben Cutting,2020,0,0
Ben Cutting,2021,0,0
Ben Cutting,2022,0,0
Ben Cutting,2023,0,0
Ben Cutting,2024,0,0
Ben Hilfenhaus,2008,0,0
Ben Hilfenhaus,2009,0,0
Ben Hilfenhaus,2010,0,0
Ben Hilfenhaus,2011,0,0
Ben Hilfenhaus,2012,2,2
Ben Hilfenhaus,2013,0,2
Ben Hilfenhaus,2014,0,2
Ben Hilfenhaus,2015,0,0
Ben Hilfenhaus,2016,0,0
Ben Hilfenhaus,2017,0,0
Ben Hilfenhaus,2018,0,0
Ben Hilfenhaus,2019,0,0
Ben Hilfenhaus,2020,0,0
Ben Hilfenhaus,2021,0,0
Ben Hilfenhaus,2022,0,0
Ben Hilfenhaus,2023,0,0
Ben Hilfenhaus,2024,0,0
Ben Stokes,2008,0,0
Ben Stokes,2009,0,0
Ben Stokes,2010,0,0
Ben Stokes,2011,0,0
Ben Stokes,2012,0,0
Ben Stokes,2013,0,0
Ben Stokes,2014,0,0
Ben Stokes,2015,0,0
Ben Stokes,2016,0,0
Ben Stokes,2017,3,3
Ben Stokes,2018,0,3
Ben Stokes,2019,0,3
Ben Stokes,2020,2,2
Ben Stokes,2021,0,2
Ben Stokes,2022,0,2
Ben Stokes,2023,0,0
Ben Stokes,2024,0,0
Bhargav Bhatt,2008,0,0
Bhargav Bhatt,2009,0,0
Bhargav Bhatt,2010,0,0
Bhargav Bhatt,2011,1,1
Bhargav Bhatt,2012,0,1
Bhargav Bhatt,2013,0,1
Bhargav Bhatt,2014,0,0
Bhargav Bhatt,2015,0,0
Bhargav Bhatt,2016,0,0
Bhargav Bhatt,2017,0,0
Bhargav Bhatt,2018,0,0
Bhargav Bhatt,2019,0,0
Bhargav Bhatt,2020,0,0
Bhargav Bhatt,2021,0,0
Bhargav Bhatt,2022,0,0
Bhargav Bhatt,2023,0,0
Bhargav Bhatt,2024,0,0
Bhuvneshwar Kumar,2008,0,0
Bhuvneshwar Kumar,2009,0,0
Bhuvneshwar Kumar,2010,0,0
Bhuvneshwar Kumar,2011,0,0
Bhuvneshwar Kumar,2012,0,0
Bhuvneshwar Kumar,2013,0,0
Bhuvneshwar Kumar,2014,2,2
Bhuvneshwar Kumar,2015,0,2
Bhuvneshwar Kumar,2016,2,4
Bhuvneshwar Kumar,2017,1,3
Bhuvneshwar Kumar,2018,0,3
Bhuvneshwar Kumar,2019,0,1
Bhuvneshwar Kumar,2020,0,0
Bhuvneshwar Kumar,2021,0,0
Bhuvneshwar Kumar,2022,0,0
Bhuvneshwar Kumar,2023,0,0
Bhuvneshwar Kumar,2024,1,1
Billy Stanlake,2008,0,0
Billy Stanlake,2009,0,0
Billy Stanlake,2010,0,0
Billy Stanlake,2011,0,0
Billy Stanlake,2012,0,0
Billy Stanlake,2013,0,0
Billy Stanlake,2014,0,0
Billy Stanlake,2015,0,0
Billy Stanlake,2016,0,0
Billy Stanlake,2017,0,0
Billy Stanlake,2018,1,1
Billy Stanlake,2019,0,1
Billy Stanlake,2020,0,1
Billy Stanlake,2021,0,0
Billy Stanlake,2022,0,0
Billy Stanlake,2023,0,0
Billy Stanlake,2024,0,0
Brad Hodge,2008,0,0
Brad Hodge,2009,1,1
Brad Hodge,2010,0,1
Brad Hodge,2011,2,3
Brad Hodge,2012,2,4
Brad Hodge,2013,1,5
Brad Hodge,2014,0,3
Brad Hodge,2015,0,1
Brad Hodge,2016,0,0
Brad Hodge,2017,0,0
Brad Hodge,2018,0,0
Brad Hodge,2019,0,0
Brad Hodge,2020,0,0
Brad Hodge,2021,0,0
Brad Hodge,2022,0,0
Brad Hodge,2023,0,0
Brad Hodge,2024,0,0
Brendon McCullum,2008,1,1
Brendon McCullum,2009,0,1
Brendon McCullum,2010,0,1
Brendon McCullum,2011,2,2
